x,y
chip released,1
,0
develops vulnerable,1
intensely artificial cheap,0
,1
,1
potential roll starts photonic crap,0
,1
,0
lost lost,0
failed presence enormous,1
70s,1
potential sorry lex crap,1
broadway,0
,0
disgusted,0
nazis recognition lost,1
,0
named roll,0
named breakthrough sweet comedies sweet comedies,1
,0
emerges,0
,0
second,1
chew broadway,0
living horse starts named crap,0
,0
partially,0
,0
skinheadcmon,0
supposed,1
philip,1
second,1
,0
,0
living,0
released memories,1
tolkien lost,0
,1
,1
,0
released,1
,1
starts lisa lisa lisa gripping lisa gripping starts lisa lisa babe,1
released charm thug shady,0
operas,1
cheap charm,0
,1
threei,1
crap,0
supposed,1
,1
,1
sweet,0
,1
blow,1
supposed cool cool babe crap loy,0
,1
,1
,0
,0
son,1
presence,0
houses,0
failed saddles 70s failed,0
lost lost,1
,1
player,1
activity,1
cheap ms,0
,0
,1
blow,0
,0
living,1
living crap,0
lost potential,0
,1
second,0
,1
,1
,0
lightness,1
,0
second supposed,1
named,0
cheap,0
,0
,0
acknowledged,0
klux sweet lost lost lost lost chip,0
,1
,1
second,0
charm released,0
,0
,1
released,0
,1
second second,1
matinée,0
,0
lisa potential lisa thrill lisa lisa,1
,1
released second,1
,0
sweet living,1
crap,0
cool saves horse,1
pat starts,0
lost supposed memories crap,0
supposed,1
richness presence gripping,1
j,0
entirety,0
,1
,0
cool,1
,1
,1
,1
,1
,1
,1
,0
,0
cruelty evoking sweet,1
supposed,0
,1
lost,0
sällskapsresan,0
,0
crap second supposed,0
released 70s seats crap mismatched learnt blow hobby,0
,1
preexistence romperroom cool cool,0
,0
journeys memories second,1
released,1
,1
son starts,0
formal tragedies purity tragedies formal,1
,0
blow asunder slutty failed betternot,0
supposed,1
thrill,1
,0
lousy lost,1
,0
,1
lost starts,0
released,0
second second second creating,0
cheap son crap,1
partially,1
,1
,0
player player failed,0
,0
,0
supposed asked,0
,0
,0
,1
named starts,1
,0
son starts,1
potential,0
,1
,1
potential develops angled supposed,0
,1
lost living conventionssoon son flickin roll supposed sorry rewarding crawls crawls,1
charm comedies,1
sweet,1
seats saves,0
,1
,1
priests,0
2135,0
pestered shady second,1
quake,1
,1
,1
itthough,0
released cheap cheap cool,1
,0
list,1
,0
broadway,1
starts sweet,1
son released televisionit cool son,0
sorry,0
list,1
breakthrough breakthrough expedition avail,1
summary,0
successfully,0
named,0
appallingly,0
,1
scenemary lost,1
starts,0
,0
,1
,1
blow,1
implausibility,0
,0
,0
,0
,1
,1
list failed,0
,1
comedies,0
,1
son son,1
asked,1
cool,0
son 70s lost pose,0
laboratory breakthrough laboratory supposed cool,0
houses,1
,1
asked second,0
,0
70s,1
,1
starts son,0
supposed hercules,0
released pat,1
,0
,1
,1
ritchie,0
,1
,1
70s,0
comedies comedies,0
charm pose,1
second inhe,0
,0
formal cool,0
offbeatoddball presence lost living partially,1
,0
mon comedies list sweet list fitting,1
intensely,1
sweet,1
charm recognize horse,1
supposed houses unnoticed sorry,0
starts,1
potential,0
second,0
,1
asked,1
sweet fireman lost,0
,1
thug otheronce second,1
,0
,1
creating supposed starts cheap conceptsstill,0
,0
,1
,1
nazis butterfly nazis,1
,1
70s,1
lost fbi living lost,1
released pit,1
supposed 70s son purgatory closeups,0
lost,1
,0
supposed,0
crap crap lost,0
,1
living,1
,1
,1
,1
lost,1
,1
,0
,0
supposed,0
supposed debtors supposed,0
,1
sorry,0
,1
,1
,1
mismatched,1
second tragedies captain second,1
released,1
vacuumpacked intercourse,0
starlets sweet doublebill,1
cheap,0
,0
supposed supposed living,0
living supposed,1
comedies living captain,0
,1
,0
cool released,1
living,0
,1
cheap,0
starts supposed,0
,0
,0
,0
,1
,1
cool charm,0
it110,0
,0
,1
,1
j,1
lost beacon,1
supposed,0
70s avail,1
kenyon,1
comedies list supposed living crap,0
develops,1
marvel living,1
,1
nazis living hellman,1
activity list,1
potential cheap supposed player,0
evelyn starts released,1
,1
second,0
dawid,1
horse,0
,0
,0
,0
houses houses,1
pat pat intimate pat,1
70s 70s,0
lousy,0
policy crap crap second,0
cool j,0
philip seean,0
,0
lost,1
headly,0
,0
comedies comedies,0
starts lost presence,1
pat trainee,1
,1
,1
,0
player starts,1
creating,1
,0
supposed,0
allegedly,1
memories,1
kenyon,1
named,1
,0
,0
living,1
second,0
supposed,0
,0
named partylater sweet,1
